"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,1,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,1,1
"4",0,1,0,0,2,1,0,0,0,2
"5",0,0,0,0,1,1,0,0,0,1
"6",0,2,0,0,3,1,1,1,1,5
"7",1,1,0,1,1,0,1,0,2,2
"8",0,0,0,0,1,1,0,0,0,3
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,2,0,0,1,0,4
"11",0,0,0,0,0,0,0,1,0,0
"12",0,0,0,0,2,0,1,0,0,3
"13",0,2,0,0,1,1,0,1,1,1
"14",0,0,0,0,1,0,0,0,0,1
"15",0,1,0,0,0,0,0,0,0,0
"16",0,0,0,0,1,0,0,0,0,1
"17",0,1,0,0,1,0,0,1,0,1
"18",0,1,0,0,1,0,0,0,0,3
"19",0,0,0,0,2,0,0,1,0,2
"20",0,2,0,0,1,0,2,2,0,4
"21",0,1,0,1,3,1,1,1,1,4
"22",0,1,0,0,2,1,0,1,0,4
"23",1,0,1,1,1,1,1,0,1,1
"24",0,1,0,0,1,0,0,0,1,2
"25",0,1,0,0,1,0,0,1,0,2
"26",0,0,0,0,0,0,0,0,0,0
"27",0,1,0,0,3,0,0,1,0,4
"28",0,0,0,0,1,0,0,0,0,1
"29",0,2,0,0,1,0,0,0,0,1
"30",0,0,0,0,0,0,0,0,0,0
"31",0,2,0,0,2,0,1,2,0,3
"32",0,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,1,0,2,0,0,4
"34",0,3,0,0,3,1,1,3,1,5
"35",0,0,0,0,0,0,0,0,0,0
"36",0,2,0,1,1,1,0,2,1,1
"37",0,1,0,0,2,0,0,2,0,4
"38",0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,1
"40",0,3,0,1,2,0,2,1,2,4
"41",0,0,0,0,1,1,0,0,0,1
"42",0,0,0,0,0,0,0,1,0,0
"43",0,1,0,0,1,0,1,1,0,1
"44",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0
"46",1,0,0,0,1,0,0,0,1,1
"47",0,1,0,0,1,0,1,4,0,5
"48",0,1,0,0,2,0,0,0,0,3
"49",0,0,0,0,1,0,0,0,0,1
"50",0,1,0,0,2,1,0,2,0,4
"51",0,0,0,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0,1
"53",0,2,0,0,1,0,2,2,0,2
"54",0,0,0,0,2,0,0,1,0,2
"55",0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,1
"57",0,0,0,0,0,0,0,0,0,1
"58",0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,1,0,0,0,0,1
"60",0,0,0,0,2,0,0,1,1,2
"61",0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,2,1,0,0,0,3
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,1,0,0,0,0,1
"65",0,0,0,0,2,1,1,0,0,2
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,1
"68",0,0,0,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0,0
"70",0,1,0,0,2,0,1,1,0,2
"71",0,1,0,0,1,0,0,0,1,1
"72",0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,1,1,0,0,0,1
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0
"77",0,3,0,0,2,1,0,1,0,7
"78",0,0,0,0,1,0,0,1,0,1
"79",0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,1,0,0,0,0,1
"81",0,3,0,1,2,0,0,2,1,4
"82",0,0,0,0,0,0,0,0,0,1
"83",0,0,0,0,1,0,1,1,0,2
"84",0,1,0,1,1,0,1,1,1,1
"85",0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,1,1,0,0,0,1
"88",0,2,0,0,2,0,1,1,0,2
"89",0,0,0,0,1,1,0,0,0,1
